0.5 70.9652 2.31072
0.55 55.3422 1.87856
0.6 41.8537 1.57531
0.65 32.3089 1.12041
0.7 24.3639 0.780774
0.75 19.522 0.588538
0.8 14.8355 0.38662
0.85 12.1983 0.308349
0.9 10.0507 0.246315
0.95 8.38516 0.18141
1 7.32889 0.131803
1.05 6.5446 0.117651
1.1 5.72545 0.0930735
1.15 5.05549 0.0804238
1.2 4.46757 0.0605423
1.25 4.01405 0.0547948
1.3 3.61301 0.0473549
1.35 3.26372 0.0388722
1.4 2.95996 0.0343603
1.45 2.72439 0.0311993
1.5 2.49726 0.0268339
1.55 2.32798 0.0256227
1.6 2.17678 0.0220952
1.65 2.02909 0.0189276
1.7 1.89371 0.0194613
1.75 1.77857 0.0182354
1.8 1.67564 0.0165521
1.85 1.5767 0.0145513
1.9 1.48638 0.0128421
1.95 1.41004 0.0121387
