0 20.0948 1.02085
100 9.41377 1.57563
200 9.05264 1.37813
300 9.05436 1.61365
400 9.37391 1.7512
500 9.03251 1.66752
600 8.81235 1.6837
700 9.03422 1.64605
800 8.68226 1.52621
900 9.20638 1.80223
1000 8.72888 1.47907
1100 9.04727 1.67335
1200 8.95155 1.71173
1300 8.59497 1.56643
1400 8.96119 1.67688
1500 9.43109 1.69847
1600 8.53548 1.50539
1700 8.99121 1.59228
1800 8.81387 1.52839
1900 8.7055 1.43379
2000 8.59645 1.62991
2100 9.02386 1.77116
2200 7.96694 1.57943
2300 8.47633 1.75583
2400 8.47672 1.68976
2500 8.09482 1.49979
2600 8.27129 1.59119
2700 8.19921 1.69604
2800 8.49282 1.81139
2900 7.83438 1.63585
3000 7.88843 1.64409
3100 7.84419 1.75934
3200 7.68711 1.61171
3300 8.11366 1.80354
3400 7.9117 1.71582
3500 7.71487 1.5824
3600 7.70229 1.47686
3700 7.83421 1.63757
3800 7.88884 1.70873
3900 7.95984 1.57932
4000 8.31655 1.79088
4100 8.2008 1.74434
4200 8.31081 1.778
4300 8.07831 1.68751
4400 8.05641 1.77934
4500 8.24511 1.83849
4600 8.14001 1.68912
4700 8.12474 1.80896
4800 8.15093 1.88338
4900 7.80652 1.62551
