#step T mu sigma energy err_energy
108 0.019639 0.978259 0.533207 -0.249253 0.00125896
109 0.0186571 0.936734 0.536279 -0.306332 0.00139166
110 0.0177242 0.93934 0.54283 -0.317368 0.00134278
111 0.016838 0.919035 0.533871 -0.318405 0.00142164
112 0.0159961 0.884036 0.536203 -0.349983 0.00143766
113 0.0151963 0.846017 0.526867 -0.35001 0.00160094
114 0.0144365 0.846017 0.526867 -0.35182 0.00160962
115 0.0137146 0.846017 0.526867 -0.347899 0.00156273
116 0.0130289 0.846017 0.526867 -0.348699 0.00161615
117 0.0123775 0.846017 0.526867 -0.34902 0.00150092
118 0.0117586 0.846017 0.526867 -0.349724 0.00161855
119 0.0111707 0.83007 0.52255 -0.343695 0.00163253
120 0.0106121 0.83007 0.52255 -0.346747 0.00168395
121 0.0100815 0.781908 0.531183 -0.373529 0.00156676
122 0.00957745 0.781908 0.531183 -0.370303 0.00154284
123 0.00909858 0.781908 0.531183 -0.372848 0.00154981
124 0.00864365 0.781908 0.531183 -0.374299 0.00150829
125 0.00821147 0.818476 0.536027 -0.377745 0.00141
126 0.00780089 0.818476 0.536027 -0.376184 0.00146998
127 0.00741085 0.787095 0.541882 -0.391577 0.00132262
128 0.00704031 0.766643 0.541645 -0.389406 0.00132307
129 0.00668829 0.753438 0.54854 -0.396262 0.00123313
130 0.00635388 0.730676 0.553015 -0.395129 0.00117896
131 0.00603618 0.730676 0.553015 -0.396065 0.00118048
132 0.00573437 0.730676 0.553015 -0.395512 0.00111144
133 0.00544765 0.752708 0.544518 -0.390067 0.00131525
134 0.00517527 0.752708 0.544518 -0.392806 0.00125638
135 0.00491651 0.752708 0.544518 -0.391318 0.00123185
136 0.00467068 0.752708 0.544518 -0.390105 0.00127724
137 0.00443715 0.802197 0.548172 -0.401442 0.00129349
138 0.00421529 0.802197 0.548172 -0.402423 0.00124677
139 0.00400453 0.802197 0.548172 -0.399862 0.00127602
140 0.0038043 0.802197 0.548172 -0.401373 0.00121482
141 0.00361408 0.802197 0.548172 -0.399158 0.00125131
142 0.00343338 0.802197 0.548172 -0.401855 0.00125368
143 0.00326171 0.802197 0.548172 -0.401961 0.00122127
144 0.00309863 0.802197 0.548172 -0.405122 0.00128853
145 0.00294369 0.796055 0.554678 -0.410864 0.00121584
146 0.00279651 0.796055 0.554678 -0.409597 0.00114021
147 0.00265668 0.796055 0.554678 -0.409632 0.00120729
148 0.00252385 0.796055 0.554678 -0.41047 0.0011633
149 0.00239766 0.785864 0.562695 -0.416767 0.00107755
150 0.00227777 0.785864 0.562695 -0.419327 0.00104821
151 0.00216389 0.785864 0.562695 -0.419322 0.00103191
152 0.00205569 0.782291 0.568945 -0.423899 0.000952877
153 0.00195291 0.782291 0.568945 -0.426326 0.00097099
154 0.00185526 0.795197 0.568611 -0.424809 0.00100638
155 0.0017625 0.795197 0.568611 -0.42428 0.00103608
156 0.00167437 0.795197 0.568611 -0.424018 0.000966263
157 0.00159066 0.76827 0.575458 -0.425786 0.000931996
158 0.00151112 0.779991 0.577095 -0.429877 0.000899909
159 0.00143557 0.772673 0.574242 -0.429791 0.000885017
160 0.00136379 0.821257 0.571135 -0.42494 0.00104904
161 0.0012956 0.821257 0.571135 -0.425204 0.00100485
162 0.00123082 0.782432 0.569487 -0.424766 0.000941208
163 0.00116928 0.782432 0.569487 -0.425586 0.000986645
164 0.00111081 0.797572 0.57845 -0.432765 0.000881891
165 0.00105527 0.797572 0.57845 -0.433626 0.0009326
166 0.00100251 0.797572 0.57845 -0.431254 0.000913887
167 0.000952384 0.818202 0.580467 -0.432809 0.000878594
168 0.000904765 0.818202 0.580467 -0.432454 0.000948305
169 0.000859527 0.818202 0.580467 -0.431604 0.000927437
170 0.00081655 0.775715 0.586139 -0.43466 0.000874223
171 0.000775723 0.775715 0.586139 -0.43433 0.000839269
172 0.000736937 0.775715 0.586139 -0.435395 0.000863176
173 0.00070009 0.769668 0.591178 -0.434652 0.000816847
174 0.000665085 0.769668 0.591178 -0.43596 0.00074479
175 0.000631831 0.816162 0.586725 -0.436393 0.000916637
176 0.000600239 0.816162 0.586725 -0.435575 0.000939177
177 0.000570227 0.816162 0.586725 -0.435347 0.000939795
178 0.000541716 0.816162 0.586725 -0.436677 0.00088467
179 0.00051463 0.806779 0.58793 -0.438507 0.000887194
180 0.000488899 0.806779 0.58793 -0.438063 0.000834816
181 0.000464454 0.806779 0.58793 -0.438472 0.000841119
182 0.000441231 0.806779 0.58793 -0.439177 0.000861197
183 0.00041917 0.790361 0.592794 -0.438831 0.00079423
184 0.000398211 0.790361 0.592794 -0.439513 0.000774583
185 0.000378301 0.790361 0.592794 -0.44124 0.000846719
186 0.000359386 0.790361 0.592794 -0.440583 0.000813508
187 0.000341416 0.810571 0.598236 -0.442138 0.000820481
188 0.000324345 0.799646 0.59908 -0.443569 0.000806383
189 0.000308128 0.799646 0.59908 -0.443652 0.000773957
190 0.000292722 0.799646 0.59908 -0.442165 0.000743455
191 0.000278086 0.799646 0.59908 -0.442851 0.000788838
192 0.000264181 0.799646 0.59908 -0.441955 0.000832887
193 0.000250972 0.799646 0.59908 -0.442294 0.000824363
