0	0.140654	0	0.51	0.51
1	0.108247	0.0324066	0.4	0.455
2	0.0276172	0.0827723	0.56	0.49
3	-0.0661066	0.110498	0.55	0.505
4	-0.144771	0.11625	0.52	0.508
5	-0.110233	0.101006	0.46	0.5
6	-0.11086	0.0853681	0.47	0.495714
7	-0.0962572	0.0753592	0.45	0.49
8	-0.106094	0.0671846	0.54	0.495556
9	-0.104883	0.0601039	0.45	0.491
10	-0.100442	0.0545472	0.56	0.497273
11	-0.0890293	0.0510857	0.45	0.493333
12	-0.0826593	0.0474218	0.43	0.488462
13	-0.0812844	0.0439255	0.56	0.493571
14	-0.085597	0.0411192	0.42	0.488667
15	-0.0948085	0.0395512	0.55	0.4925
16	-0.103011	0.0380466	0.53	0.494706
17	-0.103042	0.0358707	0.43	0.491111
18	-0.110927	0.0348344	0.48	0.490526
19	-0.115832	0.0334088	0.55	0.4935
20	-0.12547	0.0332076	0.53	0.495238
21	-0.123054	0.0317543	0.48	0.494545
22	-0.132374	0.0317416	0.53	0.496087
23	-0.127313	0.0308088	0.44	0.49375
24	-0.120531	0.0303191	0.44	0.4916
25	-0.118679	0.0291884	0.62	0.496538
26	-0.106772	0.0305064	0.39	0.492593
27	-0.106671	0.0293968	0.5	0.492857
28	-0.102408	0.0286836	0.38	0.488966
29	-0.101759	0.0277186	0.44	0.487333
30	-0.101267	0.0268141	0.45	0.486129
31	-0.0994581	0.0260255	0.51	0.486875
32	-0.0970844	0.025336	0.48	0.486667
33	-0.0944579	0.0247195	0.43	0.485
34	-0.0978565	0.0242422	0.57	0.487429
35	-0.100353	0.0236911	0.54	0.488889
36	-0.0934184	0.0240628	0.46	0.488108
37	-0.102815	0.0252358	0.53	0.489211
38	-0.10301	0.024581	0.55	0.490769
39	-0.10204	0.0239782	0.46	0.49
40	-0.107499	0.0240147	0.48	0.489756
41	-0.114845	0.0245604	0.56	0.491429
42	-0.11093	0.0242999	0.56	0.493023
43	-0.117839	0.024726	0.57	0.494773
44	-0.123141	0.0247451	0.49	0.494667
45	-0.124578	0.0242438	0.57	0.496304
46	-0.123739	0.0237371	0.47	0.495745
47	-0.123991	0.0232387	0.46	0.495
48	-0.122867	0.0227873	0.43	0.493673
49	-0.122025	0.0223427	0.5	0.4938
50	-0.121069	0.0219211	0.46	0.493137
51	-0.119852	0.0215298	0.41	0.491538
52	-0.117068	0.0213025	0.5	0.491698
53	-0.119979	0.0211061	0.52	0.492222
54	-0.118943	0.0207446	0.4	0.490545
55	-0.118268	0.020382	0.5	0.490714
56	-0.118024	0.0200227	0.52	0.491228
57	-0.121461	0.0199724	0.52	0.491724
58	-0.123963	0.0197898	0.56	0.492881
59	-0.12691	0.019679	0.56	0.494
60	-0.124866	0.0194613	0.58	0.49541
61	-0.126713	0.0192338	0.49	0.495323
62	-0.128258	0.018989	0.49	0.495238
63	-0.126705	0.0187543	0.53	0.495781
64	-0.125912	0.0184805	0.5	0.495846
65	-0.125708	0.0181995	0.49	0.495758
66	-0.126943	0.0179683	0.52	0.496119
67	-0.126967	0.0177021	0.58	0.497353
68	-0.132099	0.0181829	0.5	0.497391
69	-0.133757	0.0179977	0.53	0.497857
70	-0.132388	0.0177951	0.5	0.497887
71	-0.130856	0.017613	0.51	0.498056
72	-0.128309	0.0175557	0.41	0.496849
73	-0.131026	0.0175287	0.57	0.497838
74	-0.131875	0.0173142	0.42	0.4968
75	-0.128018	0.0175148	0.42	0.495789
76	-0.12789	0.0172863	0.49	0.495714
77	-0.131845	0.0175156	0.53	0.496154
78	-0.132533	0.0173061	0.46	0.495696
79	-0.13421	0.0171705	0.55	0.496375
80	-0.136208	0.0170744	0.6	0.497654
81	-0.132479	0.0172723	0.38	0.49622
82	-0.130445	0.0171836	0.47	0.495904
83	-0.131026	0.0169878	0.52	0.49619
84	-0.131818	0.0168054	0.48	0.496
85	-0.132278	0.0166152	0.42	0.495116
86	-0.131431	0.0164449	0.5	0.495172
87	-0.129489	0.0163725	0.41	0.494205
88	-0.13038	0.016212	0.5	0.49427
89	-0.128535	0.0161367	0.47	0.494
90	-0.130499	0.0160788	0.52	0.494286
91	-0.130454	0.0159032	0.51	0.494457
92	-0.130785	0.0157347	0.52	0.494731
93	-0.130253	0.0155755	0.49	0.494681
94	-0.130507	0.0154128	0.53	0.495053
95	-0.130865	0.0152556	0.57	0.495833
96	-0.130518	0.0151015	0.42	0.495052
97	-0.129609	0.0149742	0.5	0.495102
98	-0.127808	0.0149312	0.4	0.494141
99	-0.130099	0.0149577	0.48	0.494
