# BIN:     VELOCITY:     AVE_POFV:        ERROR:
# Block 1
     3.77853   0.0368027    0.029172   0.0075555
     3.93276   0.0116472   0.0185454  0.00402669
     4.08698   0.0106566   0.0239248  0.00446607
     4.24121 0.000150093   0.0101102  0.00395467
     4.39544  0.00021013  0.00325401  0.00180995
     4.54966   0.0182212  0.00434068  0.00311974


# Block 6
   0.0771129           0 0.000330204 0.000190774
    0.231339   0.0348815   0.0229592  0.00428757
    0.385565   0.0740257     0.07303   0.0136838
     0.53979   0.0565249    0.095604   0.0135516
    0.694016    0.139886    0.204511   0.0202289
    0.848242    0.249424    0.272993   0.0168358
     1.00247    0.286317    0.329473   0.0259299
     1.15669    0.498638     0.41324   0.0231282
     1.31092    0.376552    0.422651   0.0221582
     1.46515    0.684842     0.51839   0.0541126
     1.61937    0.577376    0.619552   0.0404227
      1.7736     0.53436    0.601116   0.0196894
     1.92782    0.521362    0.488892   0.0201445
     2.08205    0.429445    0.392937    0.022177
     2.23627    0.476064    0.402848   0.0229689
      2.3905     0.45367     0.35636   0.0347399
     2.54473     0.30823    0.302066   0.0250945
     2.69895    0.176809    0.229432   0.0137099
     2.85318    0.146761    0.208338   0.0190728
      3.0074    0.094048    0.163941   0.0283268
     3.16163    0.107827     0.10592  0.00780393
     3.31585    0.114671   0.0853677   0.0158229
     3.47008   0.0666711   0.0442123  0.00694067
     3.62431     0.01621   0.0414906  0.00987032
     3.77853  0.00552341   0.0252306  0.00725179
     3.93276   0.0103564   0.0171806  0.00357942
     4.08698   0.0228741   0.0237496  0.00372516
     4.24121   0.0105365   0.0101813   0.0032962
     4.39544  0.00168104  0.00299185  0.00152716
     4.54966  0.00303187  0.00412254   0.0026074


# Block 7
   0.0771129  0.00366226 0.000806212 0.000470057
    0.231339   0.0103864   0.0211631  0.00403376
    0.385565   0.0403749    0.068365   0.0124989
     0.53979   0.0687724   0.0917709   0.0121456
    0.694016    0.271007    0.214011    0.019442
    0.848242    0.249724    0.269669   0.0147552
     1.00247    0.359081    0.333703   0.0225679
     1.15669     0.38901    0.409778   0.0200815
     1.31092    0.451268    0.426739   0.0193663
     1.46515    0.540093     0.52149    0.046471
     1.61937    0.503921    0.603033   0.0378732
      1.7736    0.459824    0.580931   0.0251801
     1.92782    0.509684    0.491862   0.0174843
     2.08205     0.42203    0.397093   0.0193944
     2.23627    0.416777    0.404838   0.0197736
      2.3905     0.47033    0.372641    0.033375
     2.54473    0.426923    0.319903   0.0271176
     2.69895    0.301776    0.239766   0.0151541
     2.85318    0.171916    0.203135    0.017043
      3.0074   0.0848623    0.152644   0.0264369
     3.16163   0.0856728    0.103028  0.00720522
     3.31585    0.107106   0.0884731   0.0138639
     3.47008   0.0760969   0.0487672  0.00729219
     3.62431   0.0264763   0.0393457   0.0086902
     3.77853   0.0310391   0.0260604  0.00626312
     3.93276  0.00465287   0.0153909   0.0034869
     4.08698 0.000930574   0.0204898  0.00439361
     4.24121  0.00060037  0.00881258  0.00309647
     4.39544           0  0.00256444  0.00136749
     4.54966           0  0.00353361  0.00230046


# Block 8
   0.0771129  0.00537331   0.0013771 0.000674048
    0.231339   0.0174408   0.0206978  0.00355628
    0.385565   0.0653203   0.0679844   0.0109423
     0.53979    0.111069   0.0941831   0.0108643
    0.694016    0.120584    0.202332   0.0202172
    0.848242    0.212231    0.262489   0.0145531
     1.00247    0.407952    0.342984   0.0215711
     1.15669    0.382676    0.406391   0.0178548
     1.31092    0.528176    0.439419   0.0206839
     1.46515    0.557744    0.526022   0.0408825
     1.61937    0.459193    0.585053   0.0371627
      1.7736    0.472912    0.567429   0.0253961
     1.92782     0.43854    0.485197   0.0165204
     2.08205    0.420349         0.4   0.0171866
     2.23627    0.457812     0.41146   0.0183772
      2.3905    0.465647    0.384267   0.0311622
     2.54473    0.329453    0.321097   0.0237541
     2.69895    0.341611    0.252497   0.0178222
     2.85318    0.303157    0.215638   0.0189517
      3.0074    0.147781    0.152036   0.0231393
     3.16163   0.0431366   0.0955414  0.00942274
     3.31585   0.0501009   0.0836766    0.012934
     3.47008   0.0188216    0.045024  0.00727825
     3.62431   0.0424462   0.0397333  0.00761256
     3.77853   0.0521121   0.0293168  0.00626992
     3.93276   0.0187916    0.015816  0.00307684
     4.08698  6.0037e-05   0.0179361  0.00452612
     4.24121  6.0037e-05  0.00771851  0.00289625
     4.39544  0.00588363  0.00297934  0.00125792
     4.54966  0.00354218  0.00353468   0.0020129


# Block 9
   0.0771129  0.00207128  0.00145423 0.000603551
    0.231339  0.00564348   0.0190251  0.00353268
    0.385565   0.0371929   0.0645632   0.0102474
     0.53979    0.092427    0.093988  0.00965893
    0.694016    0.109387    0.192005    0.020439
    0.848242    0.417918    0.279759   0.0207955
     1.00247    0.411344     0.35058   0.0204679
     1.15669    0.511696    0.418091   0.0193282
     1.31092    0.446495    0.440205   0.0184007
     1.46515    0.501219    0.523266   0.0364328
     1.61937    0.454901    0.570592   0.0357366
      1.7736    0.529947    0.563264   0.0229132
     1.92782    0.540423    0.491333   0.0157834
     2.08205    0.484529    0.409392   0.0176577
     2.23627     0.35719     0.40543   0.0172963
      2.3905    0.326181    0.377813   0.0283602
     2.54473    0.294452    0.318136   0.0212985
     2.69895    0.269056    0.254337   0.0159367
     2.85318    0.203856    0.214329   0.0168911
      3.0074    0.170685    0.154108   0.0206608
     3.16163   0.0720745    0.092934  0.00872908
     3.31585   0.0458383   0.0794723   0.0121611
     3.47008   0.0167803   0.0418858  0.00711401
     3.62431  0.00663409   0.0360556  0.00760336
     3.77853   0.0739656   0.0342778  0.00727585
     3.93276   0.0236846   0.0166903  0.00285648
     4.08698    0.011407   0.0172106  0.00408094
     4.24121   0.0133582  0.00834515  0.00264136
     4.39544   0.0198422  0.00485299  0.00209064
     4.54966   0.0286977  0.00633057  0.00318588


# Block 10
   0.0771129  0.00450278  0.00175908  0.00061539
    0.231339   0.0211631   0.0192389  0.00318587
    0.385565   0.0578157   0.0638884  0.00924484
     0.53979    0.141747   0.0987639  0.00980294
    0.694016    0.155766    0.188381   0.0187136
    0.848242    0.225019    0.274285    0.019423
     1.00247     0.42143    0.357665   0.0196091
     1.15669    0.432357    0.419518   0.0174479
     1.31092    0.510285    0.447213   0.0178453
     1.46515     0.35692    0.506631   0.0363894
     1.61937    0.448026    0.558335   0.0342003
      1.7736    0.603792    0.567317   0.0209773
     1.92782    0.586802     0.50088   0.0168467
     2.08205    0.477715    0.416225   0.0171629
     2.23627    0.312283    0.396115      0.0179
      2.3905    0.374751    0.377507   0.0255259
     2.54473     0.27593    0.313916   0.0195823
     2.69895    0.318707    0.260774   0.0155889
     2.85318    0.156396    0.208536   0.0161649
      3.0074    0.192269    0.157924   0.0189439
     3.16163    0.119354   0.0955759   0.0082463
     3.31585   0.0883745   0.0803626   0.0109775
     3.47008   0.0641496   0.0441122  0.00674199
     3.62431   0.0361723   0.0360672  0.00684303
     3.77853    0.017831   0.0326331  0.00673159
     3.93276   0.0656205   0.0215833  0.00530628
     4.08698   0.0156997   0.0170595  0.00367564
     4.24121  0.00258159  0.00776879   0.0024393
     4.39544 0.000180111   0.0043857   0.0019331
     4.54966 0.000300185  0.00572753  0.00292381


# Block 11
   0.0771129           0  0.00159917 0.000579851
    0.231339  0.00930574   0.0183359  0.00302151
    0.385565    0.121215   0.0690999  0.00976343
     0.53979    0.132081    0.101793  0.00936801
    0.694016    0.198873    0.189335   0.0170366
    0.848242    0.237687    0.270958     0.01794
     1.00247    0.352537    0.357198    0.017832
     1.15669    0.553121    0.431664   0.0196393
     1.31092    0.427374    0.445409   0.0163139
     1.46515    0.377843    0.494923    0.034914
     1.61937    0.446886    0.548204   0.0325573
      1.7736    0.423501    0.554243   0.0227831
     1.92782     0.47096     0.49816   0.0155332
     2.08205     0.50272    0.424088   0.0173104
