0.5 77.764 1.49705
0.55 57.8285 1.32301
0.6 43.038 1.07828
0.65 33.0554 0.872415
0.7 23.6931 0.57964
0.75 19.9815 0.455447
0.8 15.5582 0.300545
0.85 12.366 0.226296
0.9 10.3416 0.189455
0.95 8.48864 0.133914
1 7.53923 0.114336
1.05 6.4786 0.0947759
1.1 5.60377 0.0774035
1.15 4.88867 0.0692855
1.2 4.3659 0.0561155
1.25 3.98869 0.048153
1.3 3.50639 0.0387415
1.35 3.27631 0.033184
1.4 2.92526 0.0285234
1.45 2.74649 0.0232
1.5 2.51331 0.0251533
1.55 2.3544 0.0226296
1.6 2.19366 0.0187581
1.65 2.05111 0.0158989
1.7 1.89728 0.0143506
1.75 1.79348 0.0143513
1.8 1.70093 0.0124793
1.85 1.60459 0.0124123
1.9 1.50784 0.012097
1.95 1.4353 0.00963294
