#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.20925    -1.20925           0
           2   -0.620617   -0.914934    0.208114
           3   -0.488873   -0.772914     0.18082
           4   -0.461736   -0.695119    0.151428
           5   -0.463368   -0.648769     0.12804
           6   -0.455456    -0.61655    0.110679
           7   -0.468231   -0.595362   0.0968749
           8   -0.431055   -0.574823   0.0869155
           9   -0.482535   -0.564569   0.0778607
          10   -0.415677    -0.54968   0.0714841
          11   -0.383812   -0.534601   0.0665569
          12   -0.360483   -0.520091   0.0625721
          13   -0.338403   -0.506115   0.0592992
          14   -0.337503   -0.494071   0.0562733
          15   -0.394512   -0.487434   0.0529117
          16   -0.418779   -0.483143   0.0497784
          17   -0.397359   -0.478097   0.0471054
          18   -0.362856   -0.471695   0.0449214
          19   -0.402305   -0.468043   0.0427053
          20   -0.357476   -0.462514   0.0409263
          21    -0.37586   -0.458388   0.0391849
          22   -0.331172   -0.452605    0.037828
          23   -0.324178   -0.447022   0.0365931
          24   -0.372411   -0.443913   0.0352002
          25   -0.387495   -0.441656   0.0338645
          26   -0.357891   -0.438434   0.0327149
          27   -0.359208     -0.4355   0.0316345
          28   -0.369892   -0.433157   0.0305914
          29   -0.336754   -0.429833   0.0297166
          30   -0.345904   -0.427035   0.0288574
          31   -0.349851   -0.424545   0.0280337
          32   -0.355505   -0.422388   0.0272406
          33   -0.394864   -0.421554   0.0264279
          34   -0.389716   -0.420617   0.0256672
          35    -0.40017   -0.420033   0.0249405
          36   -0.383358   -0.419014   0.0242685
          37   -0.405747   -0.418656   0.0236152
          38   -0.439407   -0.419202   0.0230001
          39   -0.364851   -0.417808   0.0224525
          40   -0.433334   -0.418196   0.0218945
          41   -0.409353   -0.417981   0.0213616
          42   -0.372267   -0.416892   0.0208807
          43   -0.416412   -0.416881   0.0203951
          44   -0.359474   -0.415576   0.0199733
          45   -0.333022   -0.413742   0.0196135
          46    -0.36638   -0.412712   0.0192141
          47   -0.363578   -0.411667   0.0188337
          48   -0.353689   -0.410459     0.01848
          49   -0.415013   -0.410552   0.0181031
          50   -0.370634   -0.409754   0.0177587
