#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.86864     1.86864           0
           2     1.47837     1.67351    0.137983
           3     1.39078     1.57926     0.11993
           4     1.37266     1.52761    0.100456
           5     1.37379     1.49685    0.084945
           6     1.36844     1.47544   0.0734341
           7     1.37695     1.46137   0.0642773
           8     1.35214     1.44772   0.0576747
           9     1.38648     1.44092   0.0516662
          10     1.34188     1.43101   0.0474393
          11     1.32075     1.42099   0.0441729
          12     1.30507     1.41133   0.0415347
          13     1.29042     1.40203   0.0393672
          14     1.28986     1.39402   0.0373616
          15     1.32783      1.3896   0.0351304
          16     1.34401     1.38675   0.0330502
          17     1.32974      1.3834   0.0312758
          18     1.30669     1.37914   0.0298272
          19     1.33299     1.37671    0.028356
          20     1.30308     1.37303   0.0271762
          21      1.3154     1.37028   0.0260202
          22     1.28568     1.36644   0.0251201
          23     1.28099     1.36272   0.0243011
          24     1.31316     1.36066   0.0233761
          25     1.32314     1.35916   0.0224892
          26     1.30334     1.35701   0.0217265
          27     1.30431     1.35506   0.0210093
          28     1.31138      1.3535   0.0203168
          29     1.28933     1.35129   0.0197363
          30     1.29545     1.34942    0.019166
          31     1.29804     1.34777   0.0186193
          32     1.30188     1.34633   0.0180925
          33     1.32807     1.34578   0.0175528
          34     1.32461     1.34516   0.0170475
          35     1.33161     1.34477   0.0165648
          36     1.32041     1.34409   0.0161185
          37     1.33526     1.34386   0.0156847
          38     1.35775     1.34422   0.0152762
          39     1.30811     1.34329   0.0149125
          40     1.35366     1.34355   0.0145419
          41     1.33774     1.34341    0.014188
          42     1.31299     1.34269   0.0138686
          43     1.34239     1.34268   0.0135461
          44     1.30449     1.34181    0.013266
          45     1.28685     1.34059   0.0130273
          46     1.30909     1.33991   0.0127621
          47     1.30723     1.33921   0.0125095
          48     1.30072     1.33841   0.0122746
          49     1.34157     1.33847   0.0120242
          50      1.3119     1.33794   0.0117955
