#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.80296     2.80296           0
           2     2.21755     2.51026    0.206975
           3     2.08616     2.36889    0.179895
           4     2.05899     2.29142    0.150684
           5     2.06068     2.24527    0.127418
           6     2.05266     2.21317    0.110151
           7     2.06543     2.19206   0.0964159
           8     2.02821     2.17158    0.086512
           9     2.07972     2.16137   0.0774993
          10     2.01282     2.14652    0.071159
          11     1.98113     2.13148   0.0662593
          12      1.9576     2.11699    0.062302
          13     1.93563     2.10304   0.0590508
          14     1.93479     2.09102   0.0560424
          15     1.99175     2.08441   0.0526957
          16     2.01601     2.08013   0.0495753
          17     1.99461      2.0751   0.0469136
          18     1.96003     2.06871   0.0447408
          19     1.99949     2.06506   0.0425341
          20     1.95462     2.05954   0.0407642
          21      1.9731     2.05543   0.0390304
          22     1.92852     2.04966   0.0376801
          23     1.92148     2.04408   0.0364516
          24     1.96974     2.04099   0.0350642
          25     1.98471     2.03874   0.0337338
          26     1.95502     2.03552   0.0325897
          27     1.95647     2.03259   0.0315139
          28     1.96707     2.03025   0.0304751
          29     1.93399     2.02693   0.0296045
          30     1.94317     2.02414    0.028749
          31     1.94707     2.02165   0.0279289
          32     1.95282      2.0195   0.0271388
          33      1.9921     2.01867   0.0263291
          34     1.98692     2.01774   0.0255713
          35     1.99742     2.01716   0.0248473
          36     1.98062     2.01614   0.0241778
          37     2.00288     2.01578    0.023527
          38     2.03662     2.01633   0.0229142
          39     1.96216     2.01494   0.0223688
          40     2.03049     2.01533   0.0218129
          41     2.00662     2.01512   0.0212819
          42     1.96948     2.01403   0.0208029
          43     2.01359     2.01402   0.0203191
          44     1.95673     2.01272    0.019899
          45     1.93027     2.01089    0.019541
          46     1.96364     2.00986   0.0191432
          47     1.96084     2.00882   0.0187643
          48     1.95108     2.00761   0.0184118
          49     2.01236     2.00771   0.0180363
          50     1.96784     2.00691   0.0176932
