#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59371     1.59371           0
           2     1.59694     1.59532  0.00113923
           3     1.59729     1.59598 0.000929044
           4     1.59725      1.5963 0.000749275
           5     1.59731      1.5965 0.000626366
           6      1.5972     1.59662 0.000532681
           7      1.5972      1.5967 0.000463057
           8     1.59716     1.59676 0.000408672
           9     1.59719     1.59681 0.000366017
          10     1.59714     1.59684 0.000330938
          11     1.59732     1.59688 0.000303737
          12     1.59712      1.5969 0.000279061
          13     1.59723     1.59693 0.000258739
          14     1.59729     1.59695 0.000241562
          15     1.59723     1.59697 0.000226174
          16     1.59723     1.59699 0.000212613
          17     1.59725       1.597 0.000200662
          18     1.59717     1.59701 0.000189733
          19     1.59718     1.59702 0.000179957
          20     1.59715     1.59703 0.000171068
          21     1.59724     1.59704 0.000163219
          22     1.59734     1.59705 0.000156393
          23     1.59731     1.59706 0.000149984
          24     1.59732     1.59707 0.000144129
          25     1.59722     1.59708 0.000138478
          26     1.59713     1.59708 0.000133164
          27     1.59726     1.59709 0.000128393
          28     1.59718     1.59709 0.000123847
          29     1.59724      1.5971 0.000119685
          30     1.59727      1.5971 0.000115835
          31     1.59721     1.59711 0.000112155
          32     1.59732     1.59711 0.000108847
          33     1.59724     1.59712 0.000105615
          34     1.59721     1.59712 0.000102542
          35     1.59725     1.59712 9.96824e-05
          36     1.59726     1.59713 9.69872e-05
          37     1.59714     1.59713 9.43663e-05
          38     1.59721     1.59713 9.19097e-05
          39     1.59731     1.59713 8.96709e-05
          40     1.59716     1.59713  8.7431e-05
          41     1.59726     1.59714 8.53564e-05
          42     1.59722     1.59714 8.33441e-05
          43     1.59718     1.59714 8.14101e-05
          44     1.59726     1.59714 7.96053e-05
          45     1.59725     1.59715 7.78686e-05
          46     1.59726     1.59715 7.62151e-05
          47     1.59726     1.59715 7.46342e-05
          48     1.59739     1.59716 7.32467e-05
          49     1.59735     1.59716 7.18545e-05
          50     1.59721     1.59716 7.04247e-05
