1	109.98
2	100.02
3	117.86
4	102.18
5	135.56
6	118.06
7	96.7
8	130.42
9	120.84
10	126.74
11	112
12	96.02
13	81.72
14	91.2
15	92.38
16	89.2
17	106.7
18	99.92
19	130.42
20	90.34
21	97.38
22	101.98
23	82.5
24	101.54
25	86.04
26	113.74
27	97.32
28	94.88
29	94.42
30	80.4
31	87.98
32	120.56
33	87.6
34	99.1
35	97.2
36	110.82
37	110.96
38	93.86
39	132.36
40	90.38
41	87.44
42	82.7
43	79.68
44	109.6
45	95.7
46	102.96
47	100.82
48	96.18
49	100.4
50	80.36
51	111.58
52	100.68
53	80.78
54	89.72
55	93
56	135.44
57	92.22
58	106.5
59	115.62
60	84.24
61	96.02
62	129.52
63	106.16
64	98.9
65	104.44
66	95.82
67	87.22
68	102.74
69	110.7
70	100
71	114.22
72	114.5
73	108.62
74	108.12
75	100.78
76	128.12
77	131.54
78	103.98
79	82.32
80	108.76
81	103.52
82	110.64
83	91.74
84	126.74
85	107.3
86	87.08
87	82.44
88	106.04
89	95.88
90	73
91	90.72
92	81.18
93	106.12
94	83.14
95	100.56
96	104.48
97	93.36
98	121.9
99	76.86
100	93.6
