0 2775.39 162.21
100 765.881 70.3483
200 488.156 70.0388
300 411.566 70.5339
400 361.605 72.2467
500 294.982 68.6806
600 287.028 74.2846
700 290.763 81.1829
800 278.799 81.1806
900 250.471 64.3385
1000 227.925 61.5293
1100 227.479 65.381
1200 234.057 68.1056
1300 242.603 73.6277
1400 205.548 60.1464
1500 221.951 75.1315
1600 206.499 73.3102
1700 212.011 76.7391
1800 220.956 85.7712
1900 182.337 62.5418
2000 179.929 59.4346
2100 138.335 44.3967
2200 134.752 47.56
2300 131.017 42.8352
2400 119.812 34.6642
2500 117.696 31.5129
2600 127.844 41.6767
2700 120.162 39.516
2800 113.297 38.6734
2900 88.6284 17.9498
3000 88.2594 17.9913
3100 102.121 37.6963
3200 89.2195 25.2987
3300 82.3897 16.9162
3400 89.0633 26.7961
3500 78.7073 10.5773
3600 89.7867 25.9389
3700 89.6584 27.0641
3800 81.3069 14.4892
3900 81.0034 13.8266
4000 100.517 38.2088
4100 110.089 42.8785
4200 94.4979 31.4465
4300 89.1528 25.8257
4400 85.1949 22.2641
4500 89.8814 28.5955
4600 92.5647 30.757
4700 83.554 21.5532
4800 83.2161 20.8228
4900 88.291 29.1392
5000 91.5699 32.9848
5100 84.8236 25.9014
5200 73.9784 11.7479
5300 79.1886 20.9405
5400 77.8047 20.1097
5500 80.571 23.8963
5600 81.1452 22.4047
5700 82.7314 26.4344
5800 86.2305 30.0089
5900 71.1103 12.0026
6000 68.4273 5.25416
6100 77.0766 19.698
6200 79.4351 22.2133
6300 76.7428 18.2496
6400 82.0333 26.6166
6500 72.763 13.5483
6600 78.3689 21.5228
6700 77.3445 20.9373
6800 77.228 20.2814
6900 77.1451 22.7117
7000 69.4053 9.72218
7100 76.2408 21.5665
7200 81.5281 26.1882
7300 79.6763 27.0868
7400 76.1497 22.3527
7500 72.6186 18.1128
7600 73.0585 17.8967
7700 70.2151 14.793
7800 75.4635 21.6545
7900 73.2282 19.2632
8000 74.9326 20.9471
8100 74.9879 18.9598
8200 82.0437 29.0889
8300 71.0425 14.3251
8400 83.3006 30.5532
8500 73.5929 20.063
8600 78.8605 24.1988
8700 73.6407 17.9497
8800 66.9474 7.62687
8900 73.7394 21.021
9000 77.1103 24.6831
9100 70.1726 15.1013
9200 70.1575 13.7657
9300 70.7088 17.2001
9400 71.6194 15.6336
9500 68.3265 12.6062
9600 81.5126 31.2128
9700 89.924 37.4289
9800 70.1901 15.6899
9900 74.0703 21.6477
