0 2355.42
100 600.175
200 400.851
300 329.902
400 284.15
500 244.281
600 220.854
700 200.629
800 169.287
900 173.258
1000 154.297
1100 161.443
1200 134.577
1300 156.811
1400 131.615
1500 142.483
1600 119.481
1700 140.855
1800 106.987
1900 140.02
2000 101.597
2100 138.856
2200 92.2561
2300 137.665
2400 91.1877
2500 135.756
2600 87.9139
2700 134.381
2800 87.1096
2900 129.182
3000 85.3131
3100 127.779
3200 84.4934
3300 126.825
3400 83.9053
3500 124.142
3600 83.9053
3700 123.48
3800 83.8115
3900 123.099
4000 82.0624
4100 122.072
4200 82.533
4300 120.59
4400 81.1529
4500 121.496
4600 79.3812
4700 117.743
4800 78.4772
4900 117.205
5000 78.0268
5100 115.817
5200 76.9627
5300 114.345
5400 76.9361
5500 113.537
5600 76.2503
5700 113.2
5800 75.2811
5900 111.584
6000 74.6641
6100 110.281
6200 74.6836
6300 110.281
6400 74.5854
6500 107.427
6600 74.5854
6700 107.348
6800 74.5854
6900 107.348
7000 74.4353
7100 89.1373
7200 74.4353
7300 89.9633
7400 74.1061
7500 88.8398
7600 73.6605
7700 88.3024
7800 73.6322
7900 88.118
8000 73.6322
8100 87.4645
8200 72.8922
8300 87.2804
8400 72.8922
8500 82.9202
8600 72.284
8700 86.5034
8800 72.284
8900 85.6009
9000 72.284
9100 81.6922
9200 72.284
9300 81.6922
9400 72.284
9500 81.0496
9600 72.284
9700 81.0496
9800 72.284
9900 78.9247
